Key,en,pt-br,reviewed
MainMenu.Settings.ExportSettings.AlphaThreshold,Alpha Threshold,Limiar alpha,False
MainMenu.Settings.ExportSettings.EnableDithering,Enable Dithering,Ativar Suavização de Cores,False
MainMenu.Settings.ExportSettings.ResetExportSettings,Reset Export Settings,Resetar Opções de Exportação,False
MainMenu.Editor.Export,Export Emote,Exportar Emote,False
LicensePopup.ThirdPartyLicense.Notice,License provided by the model creator. Displayed for reference only and does not represent the EmoteLab developer’s views or legal position. ,Licença provida pelo criador do modelo. Apresentada apenas para referência e não representa as ideias ou posicionamento legal dos desenvolvedores do Emotelab.,False
LicensePopup.ThirdPartyLicense.NotFound,License not found. Confirm permitted use with the creator.,Licença não encontrada. Confirme com o criador se o uso é permitido.,False
LicensePopup.Close,Close,Fechar,False
MainMenu.Editor.OpenExportFolder,Open Export Folder,Abre Pasta de Exportação,False
MainMenu.Settings.ModelSettings.LoadSampleCharacters,Load Sample Characters for Built-in Models,Carregar Personagens de Exemplo para Modelos Pré-criados,False
MainMenu.Settings.ModelSettings,Model Settings,Configurações de Modelo,False
MainMenu.Editor.CharacterPopup.SavingCharacter,Saving Character Data...,Salvando Dados do Personagem...,False
MainMenu.Editor.CharacterPopup.LoadingCharacter,Loading Character...,Carregando Personagem...,False
MainMenu.Info.ThirdPartyLicense,Third Party Licenses,Licença de Terceiros,False
MainMenu.Info.EmoteLabEULA,End User License Agreement (EULA),Contrato de Licença de Usuário Final (EULA),False
MainMenu.Info.Documentation,Documentation,Documentação,False
MainMenu.Info.Discord,Join Our Discord,Entre no Nosso Discord,False
MainMenu.Settings.ExportSettings.PresetsInfo,"This preset sets the correct format and dimensions. Very long animations may exceed platform file size limits, and some platforms restrict certain content.","Essa predefinição aplica as formas e dimensões corretas. Animações muito longas podem exceder o limite de arquivos da plataforma, e certas plataformas restringem certos conteúdos.",False
MainMenu.Settings.ModelSettings.OpenLocalModelFolder,Open Local Model Folder,Abrir Pasta Local do Modelo,False
MainMenu.Settings.ModelSettings.OpenCharacterFolder,Open Character Folder,Abrir Pasta de Personagens,False
MainMenu.Info.Log,Open Log Folder,Abrir Pasta Logs,False
MainMenu.Settings.ExportSettings.UsingGlobalColorTable,Using Global Color Table,Usar Tabela Global de Cores,False
MainMenu.Editor.ExportStatic,Export Static Image,Exportar Imagem Estática,False
MainMenu.Editor.Player.Speed,Speed,Velocidade,False
MainMenu.Settings.StaticImageSettings,Static Image Settings,Opções de Imagem Estática,False
MainMenu.Settings.StaticImageSettings.ResetStaticImageSettings,Reset Static Image Settings,Resetar Opções de Imagem Estática,False
MainMenu.Settings.ExportSettings.SamplingRate,Sampling Rate,Taxa de Amostragem,False
MainMenu.Editor.Texture.Step1Instr,This toggle allows you to switch between the internal and the custom texture,Essa opção permite você mudar entre texturas internas e customizadas,False
MainMenu.Editor.Texture.Step2Instr,Edit the PNGs in the Custom Texture folder. Save with transparency and do not modify image size,Edite os PNGs na pasta de Texturas Customizadas. Salve com transparência e não modifique o tamanho da imagem ,False
MainMenu.Editor.Texture.Step3Instr,"After saving your edits, click this button to apply the chages to your model.","Após salvar suas alterações, clique nesse botão para aplicar as alterações no seu modelo.",False
MainMenu.Editor.Texture.Step4Instr,Save your character. The save button is located below the character list on the left side of the interface.,Salve seu personagem. O botão de salvar está localizado abaixo da lista de personagens no canto esquerdo da interface.,False
MainMenu.Editor.Texture.Recommend,Please read the Using Custom Textures manual before using this feature.,Por favor leia o manual de Customização de Texturas antes de usar essa opção.,False
MainMenu.Editor.Texture.CustomTexture,Custom Texture,Texturas Customizadas,False
MainMenu.Editor.Texture.Step1,Step 1,Etapa 1,False
MainMenu.Editor.Texture.Step2,Step 2,Etapa 2,False
MainMenu.Editor.Texture.Step3,Step 3,Etapa 3,False
MainMenu.Editor.Texture.Step4,Step 4,Etapa 4,False
MainMenu.Editor.Texture.AlphaBleed,Fix Selected Outline,Corrigir Outline Selecionada,False
MainMenu.Editor.Texture.ResetAtlas,Reset Selected Atlas,Resetar Atlas Selecionada,False
MainMenu.Editor.Texture.TextureUtility,Texture Utility,Utilitários de Textura,False
MainMenu.Editor.Texture.SelectAll,Select All,Selecionar Todos,False
MainMenu.Editor.Texture.ToggleSelection,Toggle Selection,Ativar Seleção,False
MainMenu.Editor.Texture.AtlasList,Atlas List,Lista de Atlas,False
MainMenu.Editor.Texture.ResetWarning,This will reset the selected atlas pages to the built-in versions. Any unsaved edits will be lost and cannot be recovered. Continue?,Isso irá resetar as páginas do atlas selecionadas para as versões pré-criadas. Qualquer alteração não salva será perdida e não poderá ser recuperada. Continuar?,False
MainMenu.Settings.ExportSettings.PaletteAlgorithm,Palette Algorithm,Algoritmo de Paleta,False
MainMenu.Editor.Texture.AlphaBleedWarning,This will overwrite the selected texture files and cannot be undone. Continue?,Isso irá sobrescrever os arquivos de textura e não poderá ser desfeito. Continuar?,False
