Key,en,pt-br,reviewed
MainMenu.TabHeaderLable.Editor,Editor,Editor,False
MainMenu.Editor.CharacterPopup.DeleteCharacterPrompt,"Are you sure you want to delete character ""{0}""? This action cannot be undone.","Você tem certeza que quer excluir o personagem ""{0}""? Essa ação não pode ser desfeita.",False
MainMenu.Editor.CharacterPopup.OverwriteCharacterPrompt,"Character ""{0}"" already exist. Are you sure you want to overwrite character ""{0}""? This action cannot be undone.","O personagem ""{0}"" já existe. Você tem certeza que quer sobrescrever o personagem ""{0}""? Essa ação não poderá ser desfeita.",False
MainMenu.Confirm,Confirm,Confirmar,False
MainMenu.Cancel,Cancel,Cancelar,False
MainMenu.Editor.CharacterPopup.SaveCharacterPrompt,Please enter a character name:,Por favor coloque um nome para o personagem:,False
MainMenu.Editor.Model,Models,Modelos,False
MainMenu.Editor.Character,Character,Personagem,False
MainMenu.Editor.Animation,Animation,Animação,False
MainMenu.Editor.PartsSelection,Choose Parts,Escolha partes,False
MainMenu.Editor.PartsAdjustment,Adjustment,Ajuste,False
MainMenu.Search,Search...,Pesquisar...,False
MainMenu.Editor.SaveCharacter,Save Character,Salvar personagem,False
MainMenu.Editor.Unload,Clear Character,Limpar personagem,False
MainMenu.Editor.DeleteCharacter,Delete Character,Deletar personagem,False
MainMenu.Editor.UseCustomTextures,Use Custom Textures,Usar Texturas Customizadas,False
MainMenu.Editor.ReloadTextures,Reload Textures,Recarregar Texturas,False
MainMenu.Editor.OpenCustomTextureFolder,Open Custom Texture Folder,Abrir Pasta Com Texturas Customizadas,False
MainMenu.Editor.Color,Color,Cor,False
MainMenu.Editor.TintColor,TintColor,CorDaMatiz,False
MainMenu.Editor.TintBlackColor,TintBlackColor,CorDaMatizPreto,False
MainMenu.Editor.LICENSE,LICENSE,LICENÇA,False
MainMenu.Editor.AssetTypeAA,Default Assets,Assets Padrão,False
MainMenu.Editor.AssetTypeSA,Third-Party Assets,Assets de Terceiros,False
MainMenu.Editor.CharacterPopup.CharacterNameEmpty,Name cannot be empty.,O nome não pode estar vazio.,False
MainMenu.Editor.CharacterPopup.CharacterNameLength,Name cannot exceed {0} characters.,O nome não pode exceder {0} caracteres.,False
MainMenu.Editor.CharacterPopup.CharacterNameInvalidCharacter,"Name cannot contain the character ""{0}"".","O nome não pode conter o caractere ""{0}"".",False
MainMenu.Editor.CharacterPopup.CharacterNameReserved,"""{0}"" is a reserved name and cannot be used.","O nome ""{0}"" é reservado e não pode ser usado.",False
MainMenu.Editor.CharacterPopup.CharacterNameEndWithDot,Name cannot end with a dot.,O nome não pode terminar com um ponto.,False
MainMenu.Editor.CharacterPopup.CharacterNameOnlySpaces,Name cannot contain only spaces.,O nome não pode conter apenas espaços.,False
MainMenu.Editor.UnloadCurrentModel,Unload Current Model,Descarregar modelo atual,False
MainMenu.Settings.GeneralSettings,General Settings,Configurações gerais,False
MainMenu.Settings.GeneralSettings.Language,Language,Língua,False
MainMenu.Settings.ViewportSettings,Viewport Settings,Configurações de visualização,False
MainMenu.Settings.ViewportSettings.ViewportZoomSpeed,Zoom Speed,Velocidade do Zoom,False
MainMenu.Settings.ViewportSettings.ViewportRotationSpeed,Rotation Speed,Velocidade de rotação,False
MainMenu.Settings.ViewportSettings.ModelScale,Model Scale,Escala do modelo,False
MainMenu.Settings.ViewportSettings.ModelOffsetHorizontal,Offset Horizontal,Deslocamento horizontal,False
MainMenu.Settings.ViewportSettings.ModelOffsetVertical,Offset Vertical,Deslocamento vertical,False
MainMenu.Settings.ViewportSettings.ResetViewportSettings,Reset Viewport Settings,Resetar opções de visualização,False
MainMenu.Settings.ExportSettings,Animation Export Settings,Opções de exportação de animação,False
MainMenu.Settings.ExportSettings.SaveLocation,Save Location,Local de salvamento,False
MainMenu.Settings.ExportSettings.ExportPresets,Export Presets,Exportar predefinições,False
MainMenu.Settings.ExportSettings.Encoder,Encoder,Codificador,False
MainMenu.Settings.ExportSettings.Width,Width,Largura,False
MainMenu.Settings.ExportSettings.Height,Height,Altura,False
MainMenu.Settings.ExportSettings.FPS,FPS,FPS,False
MainMenu.Settings.ExportSettings.LimitMaxFrameCount,Limit Max. Frame Count,Limite máximo. Quantidade de Quadros,False
MainMenu.Settings.ExportSettings.MaxFrameCount,Max. Frame Count,Máximo. Quantidade de Quadros,False
